title,views,upload_date,length,likes,dislikes,url
WOS vs LETRA: Cuartos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"3,875,917","Dec 9, 2018",7:34,"72,927","5,913",https://www.youtube.com/watch?v=MuUBaDg_q88
VALLES T vs BNET: Tercer y Cuarto Puesto - Final Internacional 2018,"3,609,190","Dec 9, 2018",8:09,"62,295","4,511",https://www.youtube.com/watch?v=yUahtYTVzjU
WOS vs ACZINO - Final | Red Bull Internacional 2018,"39,525,308","Dec 9, 2018",19:03,"680,254","73,824",https://www.youtube.com/watch?v=kJMPD1W2Pjs
VALLES T vs KDT: Octavos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"1,858,540","Dec 9, 2018",7:50,"33,888",877,https://www.youtube.com/watch?v=G0bkdfXdaz4
ACZINO vs JAZE: Octavos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"4,673,494","Dec 9, 2018",7:53,"70,535","5,986",https://www.youtube.com/watch?v=HN_2_7HF8h0
BNET vs ACZINO - Semifinal | Red Bull Internacional 2018,"6,880,359","Dec 9, 2018",8:14,"108,931","8,573",https://www.youtube.com/watch?v=C0CGy87Mg6Y
YERIKO vs PEPE GRILLO: Octavos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"263,529","Dec 9, 2018",7:14,"5,625",655,https://www.youtube.com/watch?v=_Xj-43BCaXA
RVS vs INDICO: Octavos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"1,488,867","Dec 9, 2018",10:48,"31,762",495,https://www.youtube.com/watch?v=G3IpRgeS9c8
INDICO vs ACZINO: Cuartos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"1,578,144","Dec 9, 2018",7:28,"21,910",466,https://www.youtube.com/watch?v=Kk2C0q1rG5M
VALLES T vs WOS: Semifinal - Final Internacional 2018 | Red Bull Batalla de los Gallos,"6,938,112","Dec 9, 2018",9:14,"116,773","25,799",https://www.youtube.com/watch?v=w95MinMftEY
DOZER vs ARKANO: Octavos - Final Internacional 2018 | Red Bull Batalla de los Gallos,"1,231,381","Dec 9, 2018",8:07,"27,260","4,257",https://www.youtube.com/watch?v=CktcpfbM8qo
Perfil de Gallo: RVS - Final Internacional 2018,"16,675","Nov 19, 2018",0:52,863,30,https://www.youtube.com/watch?v=qycT-VaxRbE
MARK GRIST vs GALLOS - Final Internacional 2017,"33,867","Apr 13, 2018",3:13,"1,442",44,https://www.youtube.com/watch?v=H6vsjTWNSR4
G vs. EL TANQUE - Octavos: Final Internacional 2017,"253,069","Dec 3, 2017",5:08,"3,640",424,https://www.youtube.com/watch?v=6QLYZcFghqc
ARKANO vs. YENKY ONE - 3 y 4 Puesto: Final Internacional 2017,"2,093,488","Dec 3, 2017",4:47,"30,378","1,347",https://www.youtube.com/watch?v=VOHgIr6dSZI
WOS vs ACZINO - Final | Red Bull Internacional 2017,"23,008,624","Dec 3, 2017",7:51,"261,785","13,990",https://www.youtube.com/watch?v=_Cx6Di76ocQ
WOS vs. MELVIN LA CURA - Octavos: Final Internacional 2017,"1,495,624","Dec 3, 2017",4:50,"21,589",523,https://www.youtube.com/watch?v=egHF9evWwSw
ACZINO vs ARKANO - Semifinal | Red Bull Internacional 2017,"19,532,426","Dec 3, 2017",4:37,"197,877","14,285",https://www.youtube.com/watch?v=SWyYot2Ue00
SKONE vs. JOTA MC - Octavos: Final Internacional 2017,"1,980,963","Dec 3, 2017",0:14,"21,721","9,927",https://www.youtube.com/watch?v=ZJxRpY4GYdw
WOS vs. SKONE - Cuartos: Final Internacional 2017,"4,220,417","Dec 3, 2017",0:14,"58,139","2,761",https://www.youtube.com/watch?v=43kyDcGMHKU
WOS vs. YENKY ONE - Semifinal: Final Internacional 2017,"2,549,261","Dec 3, 2017",0:14,"38,577","1,249",https://www.youtube.com/watch?v=jJZcwjYPBcE
GAVIRIA vs. ACZINO - Cuartos: Final Internacional 2017,"4,532,545","Dec 3, 2017",0:14,"38,105","1,140",https://www.youtube.com/watch?v=SWrOL_FtT_A
JONY BELTRAN vs. ARKANO - Cuartos: Final Internacional 2017,"3,352,057","Dec 3, 2017",4:41,"37,794","1,164",https://www.youtube.com/watch?v=wWtcdK7bd4Y
YENKY ONE vs. G - Cuartos: Final Internacional 2017,"322,030","Dec 3, 2017",4:48,"5,734","1,363",https://www.youtube.com/watch?v=xoR9LVmwTfE
ACZINO vs. CHOQUE - Octavos: Final Internacional 2017,"3,219,531","Dec 3, 2017",4:26,"30,950","4,455",https://www.youtube.com/watch?v=3GPPhnfpdlU
REDENCION vs. GAVIRIA - Octavos: Final Internacional 2017,"196,352","Dec 3, 2017",4:51,"3,434",731,https://www.youtube.com/watch?v=4b8B4e32qpo
ARKANO vs. PEPE GRILLO - Octavos: Final Internacional 2017,"1,793,765","Dec 3, 2017",6:57,"21,249","7,984",https://www.youtube.com/watch?v=FMQiem9ujU0
JONY BELTRAN vs. ELEVN - Octavos: Final Internacional 2017,"656,538","Dec 3, 2017",4:46,"10,000","1,798",https://www.youtube.com/watch?v=bkhSqas7UQY
YENKY ONE vs. CHUTY - Octavos: Final Internacional 2017,"3,900,133","Dec 3, 2017",4:49,"45,524","194,847",https://www.youtube.com/watch?v=ps3v9zjYPec
DROSE vs CEHZAR – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,779,974","Nov 12, 2016",4:47,"20,197","1,114",https://www.youtube.com/watch?v=NoxXglR5xeg
GASPER vs SHADOW – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,219,652","Nov 12, 2016",4:52,"9,546","3,275",https://www.youtube.com/watch?v=pdkIjSuWrjg
VALLEST vs CIUDADANO – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,101,081","Nov 12, 2016",4:49,"11,418",311,https://www.youtube.com/watch?v=NIEgUmQh7Po
JOTA vs ACZINO – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"3,368,947","Nov 12, 2016",5:00,"33,166","49,243",https://www.youtube.com/watch?v=a0s6ZTfyyHs
JONY BELTRAN vs CHUTY - Octavos | Red Bull Internacional 2016,"13,138,438","Nov 12, 2016",7:09,"182,494","11,726",https://www.youtube.com/watch?v=C2rXItCS8I0
ARKANO vs OD – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,012,195","Nov 12, 2016",5:06,"9,885",257,https://www.youtube.com/watch?v=O_bByB9Rp_4
PAPO vs LANCER LIRICAL – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"959,324","Nov 12, 2016",4:46,"12,141",284,https://www.youtube.com/watch?v=G4XHe_4pbvY
SKONE vs TOM CROWLEY – Octavos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,326,732","Nov 12, 2016",5:03,"12,045","4,254",https://www.youtube.com/watch?v=9qZTMDgEzpo
JOTA vs VALLEST – Cuartos: Final Internacional 2016 – Red Bull Batalla de los Gallos,"1,073,224","Nov 12, 2016",5:04,"13,330","6,872",https://www.youtube.com/watch?v=ieyFXdLct_M
